Nodo;latitude;longitud;Velocidad_Objetivo;Velocidad;CACC;Hora;Distancia_Objetivo;Distancia;;minuto;Segundos;Ellapsed_Seconds;Acceleracion
1;0,341269;0,529152;3,5;3,12;-0,05;10:24:22;10;19,51;;2;22;88;0,19
0;0,341478;0,529175;3,5;3,73;;10:24:23;10;;;2;23;96;0,2
1;0,34129;0,529152;3,5;2,87;-0,02;10:24:23;10;17,18;;2;23;89;-0,25
0;0,341508;0,529175;3,5;2,06;;10:24:24;10;;;2;24;97;-1,67
1;0,34133;0,529152;3,5;2,95;-0,07;10:24:24;10;19,92;;2;24;90;0,08
0;0,341531;0,529167;3,5;2,29;;10:24:25;10;;;2;25;98;0,23
1;0,34133;0,529152;3,5;3;0;10:24:25;10;22,38;;2;25;91;0,05
0;0,341543;0,529152;3,5;3,15;;10:24:26;10;;;2;26;99;0,86
1;0,341355;0,529152;3,5;3,23;0,09;10:24:26;10;20,89;;2;26;92;0,23
0;0,341548;0,529121;3,5;2,9;;10:24:27;10;;;2;27;100;-0,25
1;0,341383;0,529152;3,5;2,56;0,04;10:24:27;10;18,67;;2;27;93;-0,67
0;0,341553;0,529099;3,5;2,94;;10:24:28;10;;;2;28;101;0,04
1;0,341406;0,529152;3,5;2,3;0,02;10:24:28;10;17,34;;2;28;94;-0,26
0;0,341568;0,529076;3,5;2,91;;10:24:29;10;;;2;29;102;-0,03
1;0,341425;0,529144;3,5;2,72;-0,01;10:24:29;10;17,58;;2;29;95;0,42
0;0,341586;0,529068;3,5;2,74;;10:24:30;10;;;2;30;103;-0,17
1;0,341445;0,529129;3,5;2,87;-0,04;10:24:30;10;17,09;;2;30;96;0,15
0;0,341606;0,52906;3,5;2,5;;10:24:31;10;;;2;31;104;-0,24
1;0,341467;0,529114;3,5;2,89;-0,08;10:24:31;10;16,61;;2;31;97;0,02
0;0,341626;0,52906;3,5;3;;10:24:32;10;;;2;32;105;0,5
1;0,341488;0,529091;3,5;2,92;-0,1;10:24:32;10;15,71;;2;32;98;0,03
0;0,341645;0,52906;3,5;2,97;;10:24:33;10;;;2;33;106;-0,03
1;0,341511;0,529068;3,5;2,87;-0,13;10:24:33;10;14,9;;2;33;99;-0,05
0;0,341662;0,529068;3,5;2,92;;10:24:34;10;;;2;34;107;-0,05
1;0,341536;0,529053;3,5;2,74;-0,16;10:24:34;10;14,08;;2;34;100;-0,13
0;0,341682;0,529083;3,5;2,54;;10:24:35;10;;;2;35;108;-0,38
1;0,341562;0,529045;3,5;2,66;-0,19;10:24:35;10;13,96;;2;35;101;-0,08
0;0,341701;0,529099;3,5;2,45;;10:24:36;10;;;2;36;109;-0,09
1;0,341586;0,529045;3,5;2,5;-0,19;10:24:36;10;14,1;;2;36;102;-0,16
0;0,341717;0,529114;3,5;2,63;;10:24:37;10;;;2;37;110;0,18
1;0,341608;0,529045;3,5;2,42;-0,17;10:24:37;10;11,92;;2;37;103;-0,08
0;0,341732;0,529114;3,5;3,83;;10:24:38;10;;;2;38;111;1,2
1;0,341631;0,529053;3,5;1,72;-0,23;10:24:38;10;13,09;;2;38;104;-0,7
0;0,34175;0,529121;3,5;3,58;;10:24:39;10;;;2;39;112;-0,25
1;0,341651;0,52906;3,5;1,78;-0,15;10:24:39;10;12,91;;2;39;105;0,06
0;0,341772;0,529114;3,5;3,34;;10:24:40;10;;;2;40;113;-0,24
1;0,341667;0,529068;3,5;2,63;-0,14;10:24:40;10;12,75;;2;40;106;0,85
0;0,341795;0,529106;3,5;3,11;;10:24:41;10;;;2;41;114;-0,23
1;0,34168;0,529076;3,5;2,55;-0,21;10:24:41;10;11,1;;2;41;107;-0,08
0;0,341822;0,529106;3,5;3,16;;10:24:42;10;;;2;42;115;0,05
1;0,341691;0,529076;3,5;1,95;-0,28;10:24:42;10;11,99;;2;42;108;-0,6
0;0,341884;0,529121;3,5;3,27;;10:24:43;10;;;2;43;116;0,11
1;0,341703;0,529076;3,5;1,87;-0,21;10:24:43;10;13,61;;2;43;109;-0,08
0;0,341884;0,529121;3,5;3,25;;10:24:44;10;;;2;44;117;-0,02
1;0,34171;0,529083;3,5;1,78;-0,14;10:24:44;10;19,76;;2;44;110;-0,09
0;0,341912;0,529129;3,5;3,41;;10:24:45;10;;;2;45;118;0,16
1;0,34172;0,529083;3,5;1,64;0,08;10:24:45;10;18,75;;2;45;111;-0,14
0;0,34194;0,529137;3,5;3,5;;10:24:46;10;;;2;46;119;0,09
1;0,341732;0,529076;3,5;1,68;0,1;10:24:46;10;20,92;;2;46;112;0,04
0;0,341967;0,529137;3,5;3,42;;10:24:47;10;;;2;47;120;-0,08
1;0,341743;0,529076;3,5;1,96;0,17;10:24:47;10;22,89;;2;47;113;0,28
0;0,34199;0,529129;3,5;3,79;;10:24:48;10;;;2;48;121;0,37
1;0,341756;0,529076;3,5;1,53;0,23;10:24:48;10;24,44;;2;48;114;-0,43
0;0,342014;0,529129;3,5;3,91;;10:24:49;10;;;2;49;122;0,12
1;;;;;;;;;;;;#VALUE!;#VALUE!
0;0,342044;0,529121;3,5;4;;10:24:50;10;;;2;50;123;0,09
1;;;;;;;;;;;;#VALUE!;#VALUE!
0;0,342077;0,529114;3,5;4,13;;10:24:51;10;;;2;51;124;0,13
1;0,341795;0,529068;3,5;1,41;0,44;10:24:51;10;31,77;;2;51;117;#VALUE!
0;0,342106;0,529106;3,5;4,28;;10:24:52;10;;;2;52;125;0,15
1;0,341806;0,52906;3,5;2,03;0,61;10:24:52;10;30,7;;2;52;118;0,62
0;0,342171;0,529106;3,5;4,29;;10:24:53;10;;;2;53;126;0,01
1;0,34182;0,52906;3,5;2,13;0,56;10:24:53;10;39,3;;2;53;119;0,1
0;0,342171;0,529106;3,5;4,36;;10:24:54;10;;;2;54;127;0,07
1;0,34184;0,52906;3,5;2,17;0,81;10:24:54;10;37,15;;2;54;120;0,04
0;0,342237;0,529106;3,5;4,38;;10:24:55;10;;;2;55;128;0,02
1;0,341859;0,52906;3,5;2,24;0,79;10:24:55;10;35,05;;2;55;121;0,07
0;0,342274;0,529099;3,5;3,66;;10:24:57;10;;;2;57;130;-0,36
1;0,341897;0,529083;3,5;2,18;0,87;10:24:57;10;37,86;;2;57;123;-0,03
0;0,342315;0,529091;3,5;3,54;;10:24:58;10;;;2;58;131;-0,12
1;0,34192;0,529083;3,5;2,23;0,83;10:24:58;10;39,38;;2;58;124;0,05
0;0,342359;0,529091;3,5;3,54;;10:24:59;10;;;2;59;132;0
1;0,341938;0,529091;3,5;2,4;0,86;10:24:59;10;41,89;;2;59;125;0,17
0;0,342444;0,529091;3,5;3,5;;10:25:00;10;;;3;00;133;-0,04
1;0,341957;0,529106;3,5;2,73;0,94;10:25:00;10;54,19;;3;00;126;0,33
0;0,342444;0,529091;3,5;3,47;;10:25:01;10;;;3;01;134;-0,03
1;0,341979;0,529114;3,5;2,72;1,32;10:25:01;10;51,76;;3;01;127;-0,01
0;0,342481;0,529091;3,5;3,47;;10:25:02;10;;;3;02;135;0
1;0,341999;0,529114;3,5;2,73;1,32;10:25:02;10;49,54;;3;02;128;0,01
0;0,342515;0,529091;3,5;3,47;;10:25:03;10;;;3;03;136;0
1;0,342023;0,529121;3,5;3,21;1,24;10:25:03;10;54,77;;3;03;129;0,48
0;0,342552;0,529083;3,5;3,45;;10:25:04;10;;;3;04;137;-0,02
1;;;;;;;;;;;;#VALUE!;#VALUE!
0;0,342589;0,529083;3,5;3,48;;10:25:05;10;;;3;05;138;0,03
1;0,342062;0,529121;3,5;3,47;1,43;10:25:05;10;58,81;;3;05;131;#VALUE!
0;0,342621;0,529083;3,5;3,22;;10:25:06;10;;;3;06;139;-0,26
1;0,342081;0,529121;3,5;3,25;1,57;10:25:06;10;60,16;;3;06;132;-0,22
0;0,342647;0,529083;3,5;3,49;;10:25:07;10;;;3;07;140;0,27
1;;;;;;;;;;;;#VALUE!;#VALUE!
0;0,342677;0,529083;3,5;3,44;;10:25:08;10;;;3;08;141;-0,05
1;0,342127;0,529114;3,5;3,52;1,51;10:25:08;10;61,27;;3;08;134;#VALUE!
0;0,34271;0,529083;3,5;3,45;;10:25:09;10;;;3;09;142;0,01
1;0,342156;0,529114;3,5;3,56;1,49;10:25:09;10;61,65;;3;09;135;0,04
0;0,34275;0,529083;3,5;3,81;;10:25:10;10;;;3;10;143;0,36
1;0,342185;0,529114;3,5;3,17;1,6;10:25:10;10;62,91;;3;10;136;-0,39
0;0,342789;0,529076;3,5;3,39;;10:25:11;10;;;3;11;144;-0,42
1;0,342247;0,529114;3,5;2,72;1,7;10:25:11;10;60,39;;3;11;137;-0,45
0;0,342818;0,529083;3,5;2,94;;10:25:12;10;;;3;12;145;-0,45
1;0,342247;0,529114;3,5;2,77;1,67;10:25:12;10;60,39;;3;12;138;0,05
0;0,342848;0,529083;3,5;2,43;;10:25:13;10;;;3;13;146;-0,51
1;0,342275;0,529114;3,5;2,77;1,66;10:25:13;10;63,81;;3;13;139;0
0;0,342875;0,529076;3,5;2,21;;10:25:14;10;;;3;14;147;-0,22
1;0,34234;0,529099;3,5;2,92;1,65;10:25:14;10;56,48;;3;14;140;0,15
0;0,342898;0,529076;3,5;2,52;;10:25:15;10;;;3;15;148;0,31
1;0,34234;0,529099;3,5;2,93;1,52;10:25:15;10;56,48;;3;15;141;0,01
0;0,342918;0,529076;3,5;3,39;;10:25:16;10;;;3;16;149;0,87
1;0,342368;0,529099;3,5;2,98;1,57;10:25:16;10;59,02;;3;16;142;0,05
0;0,342936;0,529083;3,5;3,65;;10:25:17;10;;;3;17;150;0,26
1;0,342421;0,529091;3,5;3,03;1,55;10:25:17;10;55,31;;3;17;143;0,05
0;0,342949;0,529099;3,5;3,4;;10:25:18;10;;;3;18;151;-0,25
1;0,342421;0,529091;3,5;3,25;1,45;10:25:18;10;55,31;;3;18;144;0,22
0;0,342955;0,529129;3,5;3,25;;10:25:19;10;;;3;19;152;-0,15
1;;;;;;;;;;;;#VALUE!;#VALUE!
0;0,342952;0,529152;3,5;3,21;;10:25:20;10;;;3;20;153;-0,04
1;0,342464;0,529091;3,5;3,46;1,45;10:25:20;10;53,96;;3;20;146;#VALUE!
0;0,342944;0,529175;3,5;3,3;;10:25:21;10;;;3;21;154;0,09
1;0,342493;0,529099;3,5;3,53;1,36;10:25:21;10;51,53;;3;21;147;0,07
0;0,342927;0,529221;3,5;3,31;;10:25:22;10;;;3;22;155;0,01
1;0,342493;0,529099;3,5;3,57;1,25;10:25:22;10;51,53;;3;22;148;0,04
0;0,342927;0,529221;3,5;3,34;;10:25:23;10;;;3;23;156;0,03
1;0,342551;0,529099;3,5;3,94;1,23;10:25:23;10;44,57;;3;23;149;0,37
0;;;;;;;;;;;;#VALUE!;#VALUE!
1;0,342579;0,529091;3,5;3,89;0,82;10:25:24;10;41,3;;3;24;150;-0,05
0;0,34291;0,529274;3,5;3,33;;10:25:25;10;;;3;25;158;#VALUE!
1;0,342604;0,529083;3,5;3,96;0,8;10:25:25;10;39,03;;3;25;151;0,07
0;0,342902;0,529305;3,5;3,21;;10:25:26;10;;;3;26;159;-0,12
1;0,342671;0,529076;3,5;3,81;0,71;10:25:26;10;36,16;;3;26;152;-0,15
0;0,342899;0,529335;3,5;3,1;;10:25:27;10;;;3;27;160;-0,11
1;;;;;;;;;;;;#VALUE!;#VALUE!
0;0,342891;0,529381;3,5;2,84;;10:25:28;10;;;3;28;161;-0,26
1;0,342709;0,529076;3,5;3,89;0,61;10:25:28;10;33,36;;3;28;154;#VALUE!
0;0,342891;0,529381;3,5;2,59;;10:25:29;10;;;3;29;162;-0,25
1;0,342752;0,529068;3,5;3,51;0,48;10:25:29;10;33,87;;3;29;155;-0,38
